	HypoNF1	HypoNF2	HypoNF4	HypoB1	HypoB2	HypoB4
Gm6123	0	0	0	0	0	0
Mrpl15	1	1	2	0	0	0
Lypla1	0	0	0	2	0	0
Tcea1	0	2	0	1	2	0
Rgs20	0	0	0	0	0	0
Atp6v1h	2	1	1	3	1	2
Oprk1	0	0	0	1	0	0
Rb1cc1	0	0	0	1	0	1
Pcmtd1	0	1	0	1	2	1
Gm36964	0	1	0	0	0	0
Gm24276	0	2	0	0	0	0
Rrs1	1	0	0	0	0	0
Adhfe1	1	0	0	0	0	0
Gm6161	0	0	0	0	0	0
Vcpip1	0	1	0	1	0	0
Snhg6	2	0	0	1	0	0
Tcf24	0	1	0	0	0	0
Cops5	0	0	0	2	1	0
Cspp1	0	1	1	1	0	0
Arfgef1	0	0	1	3	2	0
Gm28659	0	0	0	0	0	1
Prex2	0	0	0	0	0	0
A830018L16Rik	0	0	0	1	0	0
Sulf1	0	1	0	1	0	0
Ncoa2	0	0	0	2	2	0
Gm38120	0	0	0	0	0	0
Tram1	0	1	1	0	0	1
Lactb2	0	0	0	0	0	0
Rpl5-ps1	0	0	0	0	0	0
Gm10566	0	0	0	1	0	0
Terf1	0	0	0	0	1	0
Rpl7	9	2	4	5	7	1
Rdh10	0	1	0	0	1	0
Stau2	0	0	0	0	0	0
Ube2w	0	0	0	0	0	0
Eloc	3	1	2	4	1	0
Tmem70	0	0	0	0	0	0
Ly96	0	0	0	0	0	0
Gdap1	0	0	1	0	0	0
Crispld1	0	0	1	0	0	0
Mcm3	0	1	0	1	1	0
Paqr8	1	2	2	2	1	4
Tmem14a	0	0	0	1	1	0
Gsta3	0	0	0	0	0	0
Rims1	0	0	0	0	0	0
Ogfrl1	1	1	1	1	0	0
B3gat2	0	0	0	0	0	0
Smap1	2	0	0	1	1	0
Sdhaf4	0	1	0	1	1	1
Fam135a	0	0	0	0	0	0
Tubb4b-ps2	0	0	0	0	0	0
Gm28439	0	0	0	0	0	0
Gm28438	2	4	0	5	6	0
Gm28437	83	127	70	219	172	59
Gm10925	63	68	52	153	115	34
Gm28661	31	37	26	78	58	18
Gm29216	43	42	33	50	53	22
Lmbrd1	0	1	1	1	1	1
Adgrb3	0	0	0	0	0	0
Gm5525	0	0	0	0	0	1
Phf3	0	1	1	0	1	0
Ptp4a1	0	0	0	0	2	0
Khdrbs2	0	1	0	1	0	0
Prim2	1	0	0	0	0	0
Rab23	1	0	0	0	0	0
Bag2	1	1	1	0	0	1
Zfp451	0	1	0	3	0	0
Bend6	0	0	0	4	0	0
Dst	2	1	0	3	3	0
Gm38157	0	0	0	0	0	0
Ccdc115	0	1	0	1	0	0
Imp4	0	2	0	0	0	1
Ptpn18	0	1	0	2	0	0
Arhgef4	2	0	2	1	0	1
Fam168b	0	1	0	0	0	1
Plekhb2	2	2	1	2	1	0
Hs6st1	0	0	0	0	1	0
Uggt1	0	0	0	0	0	0
Arid5a	0	0	0	0	0	0
Kansl3	2	0	1	3	0	1
Lman2l	2	0	1	0	0	0
Cnnm4	0	0	0	0	0	0
Cnnm3	0	0	0	0	0	0
Ankrd39	0	0	0	0	0	0
Sema4c	0	0	0	0	0	0
Cox5b	13	14	8	23	9	11
Actr1b	2	1	3	4	3	0
Zap70	0	0	0	0	0	0
Tmem131	0	0	0	0	0	0
Inpp4a	0	1	0	2	0	2
Coa5	0	0	0	2	0	0
Unc50	0	0	0	0	0	0
Mgat4a	0	0	0	0	0	1
2010300C02Rik	0	0	0	0	0	0
Tsga10	0	0	0	0	0	0
Lipt1	0	0	0	0	0	1
Mitd1	0	0	0	0	0	0
Mrpl30	1	2	1	1	1	0
Txndc9	0	0	0	1	1	2
Eif5b	0	0	3	3	0	3
Rev1	0	0	0	1	0	0
Aff3	0	0	0	1	1	0
Lonrf2	1	0	0	3	2	0
Chst10	0	1	0	1	0	1
Pdcl3	3	1	0	1	0	1
Rpl31	16	18	11	30	14	13
Tbc1d8	0	0	0	0	2	0
Cnot11	0	0	0	1	0	0
Rnf149	0	0	0	1	0	1
Creg2	0	0	0	0	0	0
Map4k4	0	1	1	2	2	0
Gm16894	0	0	1	0	0	0
Il1r1	0	1	0	0	0	0
Slc9a2	0	1	0	0	0	0
Pantr1	0	1	1	0	1	0
Mrps9	2	2	2	3	1	0
Gpr45	0	0	0	0	0	0
Tgfbrap1	0	0	0	0	1	0
Fhl2	0	0	0	0	0	0
Gm8210	2	3	2	5	0	1
Nck2	0	0	0	0	0	0
Uxs1	0	0	0	1	0	0
Tpp2	0	0	0	0	1	0
Mettl21c	0	0	0	1	0	0
Tex30	0	0	0	1	0	0
Kdelc1	1	2	0	0	0	0
Bivm	0	0	0	0	0	0
Ercc5	0	0	0	1	0	1
Gulp1	0	2	0	0	1	0
Col3a1	1	5	0	0	0	2
Col5a2	0	0	0	0	1	0
Wdr75	0	0	0	0	0	0
Gm5526	0	0	1	0	0	0
D0h7b	0	0	0	0	0	0
Gm8326	0	1	1	2	0	0
Slc39a10	0	1	0	1	0	0
Gm8337	0	0	0	0	0	0
Tmeff2	0	2	1	0	1	1
Cavin2	0	0	1	1	2	0
0bp1	0	0	0	1	0	0
Myo1b	0	1	0	1	2	0
Stat1	0	1	0	0	0	0
Gls	2	1	0	2	1	0
0b1	0	0	1	1	0	0
Nemp2	0	0	0	0	0	0
Mfsd6	0	1	2	0	0	2
Inpp1	0	0	0	2	0	0
Hibch	0	0	0	1	1	0
Pms1	0	0	1	0	0	0
Ormdl1	0	0	0	1	0	0
Osgepl1	0	1	0	0	0	0
D0h7a	1	1	0	0	1	0
Stk17b	0	1	0	0	1	0
Hecw2	0	1	0	0	0	0
Gtf3c3	0	0	0	2	0	0
Pgap1	1	0	1	0	1	0
Ankrd44	0	0	0	1	0	0
Sf3b1	2	1	1	3	2	1
Coq10b	0	1	0	0	1	0
Gm17971	0	1	0	0	0	0
Hspd1	8	3	2	9	2	2
Hspe1	6	14	2	18	4	6
Mob4	0	0	1	0	2	1
Rftn2	0	0	0	0	0	0
Gm8292	0	0	1	2	2	2
Plcl1	0	1	0	1	0	0
Tyw5	0	0	0	1	1	0
Maip1	0	0	0	0	0	0
Spats2l	1	0	0	1	0	0
Kctd18	0	1	0	0	0	0
Aox1	0	0	0	0	0	0
Bzw1	0	0	3	5	4	0
Clk1	0	0	0	4	1	0
Ppil3	0	0	0	2	0	0
Nif3l1	1	0	1	0	0	1
Orc2	0	0	0	1	0	0
Fam126b	1	1	0	1	3	0
Ndufb3	6	3	4	9	4	4
Cflar	0	0	1	1	0	0
Casp8	0	0	0	0	0	0
Gm37760	0	0	0	0	0	0
Trak2	1	0	0	0	0	0
Stradb	1	0	0	0	0	0
Tmem237	0	1	0	0	0	0
Als2	0	0	0	1	0	0
Gm973	0	0	0	0	1	0
Sumo1	3	1	1	6	1	1
Nop58	0	0	0	0	0	1
Bmpr2	1	0	0	1	2	0
Fam117b	2	0	0	1	0	1
Ica1l	0	0	0	0	0	0
Wdr12	0	2	1	0	1	0
Carf	0	0	0	1	0	0
Nbeal1	0	0	0	1	0	0
Cyp20a1	0	0	0	0	1	0
Abi2	1	0	0	1	1	0
Raph1	0	1	0	0	1	0
Eif4a-ps4	1	3	0	4	3	0
Cd28	0	0	0	0	0	0
Rpl18-ps1	0	1	0	0	0	0
Gm11599	0	0	0	0	1	0
Nrp2	0	0	0	1	0	0
Ino80d	0	0	0	3	0	0
Ino80dos	0	0	0	0	0	0
Gm20342	0	0	0	1	0	0
Ndufs1	1	1	0	2	1	0
Eef1b2	2	2	3	9	3	2
Adam23	1	1	0	0	0	1
Fastkd2	0	0	1	0	0	0
Klf7	1	0	0	0	2	2
Creb1	1	0	0	2	2	0
Mettl21a	0	0	0	0	0	0
