	HypoPNAF1CNT1	HypoPNAF1CNT3	HypoPNAF1CNT4	HypoPNAF1HV2	HypoPNAF1HV3	HypoPNAF1HV4
Gm6123	0	0	0	1	0	0
Mrpl15	0	1	0	0	4	2
Lypla1	0	1	0	1	0	0
Tcea1	1	2	2	0	0	3
Rgs20	0	1	0	0	1	0
Atp6v1h	0	2	1	4	1	2
Oprk1	0	0	0	3	0	1
Rb1cc1	2	0	2	3	0	0
Pcmtd1	3	2	0	0	0	0
Gm36964	2	0	1	0	0	0
Gm24276	0	0	0	1	0	1
Rrs1	0	1	1	0	1	0
Adhfe1	1	1	2	1	2	0
Gm6161	1	0	0	1	0	0
Vcpip1	0	0	2	0	0	0
Snhg6	0	0	1	5	1	1
Tcf24	0	1	0	0	0	0
Cops5	1	2	3	6	5	1
Cspp1	0	1	0	1	0	1
Arfgef1	1	3	0	2	4	3
Gm28659	0	0	1	0	2	0
Prex2	1	0	0	1	2	0
A830018L16Rik	0	0	0	0	0	1
Sulf1	1	1	0	1	1	1
Ncoa2	0	0	1	0	2	1
Gm38120	0	0	1	0	0	0
Tram1	1	0	0	1	2	0
Lactb2	0	0	0	0	0	0
Rpl5-ps1	0	0	1	1	0	0
Gm10566	0	0	0	0	0	1
Terf1	0	3	0	2	0	1
Rpl7	6	9	5	8	3	10
Rdh10	0	0	0	0	0	0
Stau2	0	1	0	1	2	1
Ube2w	0	1	0	1	0	1
Eloc	6	8	6	19	12	3
Tmem70	0	0	0	2	2	0
Ly96	0	0	0	0	0	0
Gdap1	1	0	0	3	0	1
Crispld1	0	0	0	0	1	0
Mcm3	0	0	1	0	0	1
Paqr8	2	0	0	3	1	2
Tmem14a	0	0	0	0	0	0
Gsta3	0	1	1	2	0	0
Rims1	0	1	1	1	0	1
Ogfrl1	1	1	0	2	3	1
B3gat2	1	0	0	1	0	1
Smap1	1	3	0	1	0	2
Sdhaf4	1	0	2	0	0	1
Fam135a	0	0	0	0	1	0
Tubb4b-ps2	1	0	0	0	0	1
Gm28439	1	1	1	0	0	0
Gm28438	10	9	5	21	6	7
Gm28437	267	398	246	234	267	185
Gm10925	151	237	173	200	152	121
Gm28661	93	138	92	117	110	77
Gm29216	112	119	96	209	99	100
Lmbrd1	1	3	0	3	3	2
Adgrb3	0	0	1	0	3	1
Gm5525	0	1	1	1	1	0
Phf3	1	2	2	1	3	2
Ptp4a1	0	0	0	0	1	0
Khdrbs2	0	0	0	0	0	0
Prim2	1	0	0	0	0	0
Rab23	1	0	0	0	0	1
