	HypoPNAF1CNT1	HypoPNAF1CNT3	HypoPNAF1CNT4	HypoPNAF1DHT2	HypoPNAF1DHT4
Gm6123	0	0	0	1	0
Mrpl15	0	1	0	3	5
Lypla1	0	1	0	0	1
Tcea1	1	2	2	2	2
Rgs20	0	1	0	0	0
Atp6v1h	0	2	1	1	4
Oprk1	0	0	0	0	0
Rb1cc1	2	0	2	1	2
Pcmtd1	3	2	0	3	1
Gm36964	2	0	1	0	0
Gm24276	0	0	0	0	1
Rrs1	0	1	1	1	1
Adhfe1	1	1	2	1	0
Gm6161	1	0	0	0	0
Vcpip1	0	0	2	0	0
Snhg6	0	0	1	4	4
Tcf24	0	1	0	0	1
Cops5	1	2	3	4	4
Cspp1	0	1	0	2	2
Arfgef1	1	3	0	1	3
Gm28659	0	0	1	3	1
Prex2	1	0	0	0	1
A830018L16Rik	0	0	0	0	0
Sulf1	1	1	0	1	0
Ncoa2	0	0	1	1	3
Gm38120	0	0	1	0	0
Tram1	1	0	0	3	6
Lactb2	0	0	0	1	0
Rpl5-ps1	0	0	1	1	0
Gm10566	0	0	0	0	1
Terf1	0	3	0	1	4
Rpl7	6	9	5	32	55
Rdh10	0	0	0	1	0
Stau2	0	1	0	0	1
Ube2w	0	1	0	1	2
Eloc	6	8	6	6	12
Tmem70	0	0	0	1	1
Ly96	0	0	0	1	2
Gdap1	1	0	0	1	1
Crispld1	0	0	0	1	0
Mcm3	0	0	1	1	1
Paqr8	2	0	0	2	1
Tmem14a	0	0	0	1	0
Gsta3	0	1	1	1	0
Rims1	0	1	1	1	0
Ogfrl1	1	1	0	1	0
B3gat2	1	0	0	0	0
Smap1	1	3	0	0	0
Sdhaf4	1	0	2	2	3
Fam135a	0	0	0	0	1
Tubb4b-ps2	1	0	0	0	0
Gm28439	1	1	1	0	0
Gm28438	10	9	5	7	12
Gm28437	267	398	246	566	817
Gm10925	151	237	173	292	444
Gm28661	93	138	92	200	290
Gm29216	112	119	96	130	224
Lmbrd1	1	3	0	2	2
Adgrb3	0	0	1	0	0
Gm5525	0	1	1	1	0
Phf3	1	2	2	0	1
Ptp4a1	0	0	0	0	1
Khdrbs2	0	0	0	0	1
Prim2	1	0	0	0	0
Rab23	1	0	0	0	0
Bag2	1	0	0	3	1
Zfp451	2	0	1	1	2
Bend6	0	0	2	1	1
Dst	3	4	2	3	8
Gm38157	0	1	0	0	0
Ccdc115	0	2	0	0	1
Imp4	2	1	1	1	3
Ptpn18	0	0	0	1	2
Arhgef4	3	0	1	2	1
Fam168b	2	6	1	1	5
Plekhb2	2	1	0	2	4
Hs6st1	2	1	1	0	0
Uggt1	0	3	0	1	3
Arid5a	0	0	0	0	0
Kansl3	2	0	0	2	5
Lman2l	0	1	3	1	2
Cnnm4	0	1	0	0	0
Cnnm3	0	1	0	0	0
Ankrd39	0	0	0	1	2
Sema4c	0	2	0	0	0
Cox5b	27	30	22	44	50
Actr1b	6	4	4	2	6
Zap70	0	0	0	0	1
Tmem131	1	0	0	0	2
Inpp4a	2	0	0	0	1
Coa5	0	2	4	4	2
Unc50	2	2	1	3	2
Mgat4a	1	0	0	0	0
2010300C02Rik	0	0	0	0	0
Tsga10	0	1	0	0	1
Lipt1	0	0	0	0	1
Mitd1	1	0	0	1	0
Mrpl30	6	1	4	8	16
Txndc9	2	2	1	2	6
Eif5b	5	5	5	8	4
Rev1	1	1	0	0	1
Aff3	1	1	0	0	0
Lonrf2	0	1	0	0	0
Chst10	1	1	2	0	0
Pdcl3	3	2	3	5	4
Rpl31	41	34	31	93	130
Tbc1d8	0	0	0	0	1
Cnot11	0	0	0	1	1
Rnf149	0	0	1	0	1
Creg2	1	0	0	0	0
Map4k4	1	3	0	3	3
Gm16894	1	0	1	0	0
Il1r1	0	1	0	1	0
Slc9a2	0	1	0	0	0
Pantr1	0	1	0	0	1
Mrps9	2	0	1	1	4
Gpr45	0	0	0	1	0
Tgfbrap1	0	0	0	1	0
Fhl2	0	0	0	1	0
Gm8210	0	5	1	17	19
Nck2	1	0	1	2	0
Uxs1	1	1	1	0	0
Tpp2	0	0	1	2	6
Mettl21c	0	1	1	0	0
Tex30	0	0	0	0	2
Kdelc1	1	1	0	0	1
Bivm	0	1	0	0	0
Ercc5	1	0	0	0	1
Gulp1	0	0	1	2	1
Col3a1	5	13	6	10	18
Col5a2	0	1	2	2	2
Wdr75	0	0	1	0	2
Gm5526	0	0	1	1	0
D0h7b	0	0	0	0	0
Gm8326	0	1	0	0	4
Slc39a10	0	0	0	2	0
Gm8337	0	1	0	0	1
Tmeff2	0	0	0	0	1
Cavin2	1	1	0	2	4
0bp1	0	0	0	1	0
Myo1b	0	1	2	2	0
Stat1	2	1	0	3	5
Gls	1	0	1	4	5
0b1	0	1	1	2	0
Nemp2	0	1	0	0	0
Mfsd6	3	2	0	0	2
Inpp1	0	1	1	1	0
Hibch	0	0	1	1	7
Pms1	0	0	0	0	0
Ormdl1	0	0	1	0	1
Osgepl1	1	0	0	0	0
D0h7a	0	0	0	0	0
Stk17b	0	0	0	3	7
Hecw2	0	0	0	1	0
Gtf3c3	0	1	0	0	1
Pgap1	1	0	0	0	0
Ankrd44	0	1	1	1	4
Sf3b1	3	1	2	6	21
Coq10b	1	1	0	2	1
Gm17971	0	0	0	0	0
Hspd1	9	13	13	27	49
Hspe1	20	18	10	41	43
Mob4	1	4	0	3	5
Rftn2	1	1	0	0	3
Gm8292	3	4	4	6	10
Plcl1	0	0	0	3	1
Tyw5	0	1	0	0	1
Maip1	0	0	2	0	1
Spats2l	0	0	1	1	0
Kctd18	1	0	0	1	1
Aox1	0	1	0	1	3
Bzw1	3	5	6	6	8
Clk1	1	2	0	4	5
Ppil3	1	0	1	3	2
Nif3l1	0	1	1	4	3
Orc2	0	0	0	1	0
Fam126b	1	0	1	4	3
Ndufb3	13	12	5	14	21
Cflar	1	0	1	1	4
Casp8	0	0	1	1	0
Gm37760	0	0	0	1	1
Trak2	0	0	0	0	0
Stradb	0	1	0	0	2
Tmem237	0	0	1	0	2
Als2	0	1	0	2	0
Gm973	1	0	0	0	2
Sumo1	7	7	1	10	10
Nop58	1	2	0	3	3
Bmpr2	2	1	1	5	2
Fam117b	0	0	0	1	2
Ica1l	2	0	0	1	1
Wdr12	1	1	0	2	4
Carf	0	0	0	0	0
Nbeal1	0	1	0	3	4
Cyp20a1	0	1	0	0	2
Abi2	2	0	0	1	3
Raph1	1	1	0	1	1
Eif4a-ps4	2	2	3	6	11
Cd28	0	0	0	0	1
Rpl18-ps1	0	1	0	0	5
Gm11599	2	4	0	3	1
Nrp2	2	2	1	5	3
Ino80d	0	0	0	2	1
Ino80dos	0	1	0	0	0
Gm20342	0	0	0	0	2
Ndufs1	2	2	0	0	2
Eef1b2	5	8	10	28	31
Adam23	3	1	1	2	0
Fastkd2	0	0	0	0	0
Klf7	1	1	1	3	2
Creb1	1	0	0	0	2
Mettl21a	0	1	0	2	3
Plekhm3	2	0	0	0	0
Rpl10a-ps1	0	0	0	4	2
Akr1cl	11	25	23	115	162
Gm7329	0	0	0	0	1
D630023F18Rik	0	1	1	2	0
Idh1	4	13	16	22	30
Pikfyve	1	0	2	2	3
Gm28927	0	0	0	0	0
Map2	4	5	5	3	10
Unc80	3	1	2	4	0
Rpe	0	2	0	0	0
Acadl	0	3	0	13	10
Myl1	1	4	6	1	0
Rpl31-ps14	1	1	0	2	2
Lancl1	1	2	2	0	4
Erbb4	0	0	0	0	0
Ikzf2	0	0	1	0	0
Atic	1	0	0	2	1
Fn1	1	1	1	5	6
D230017M19Rik	2	0	0	0	0
Pecr	2	0	0	0	2
Tmem169	0	1	0	0	0
Xrcc5	1	1	0	1	3
Gm15843	1	0	0	0	0
Smarcal1	0	0	1	1	0
Rpl37a	16	12	14	42	42
Igfbp2	0	1	1	0	1
Igfbp5	2	6	4	6	9
Tns1	1	4	0	5	5
Rufy4	0	0	0	0	0
Arpc2	3	3	2	6	4
Aamp	1	6	3	8	12
Pnkd	3	1	4	5	7
Tmbim1	2	5	2	3	2
Catip	0	0	0	0	0
Slc11a1	1	0	0	3	0
Ctdsp1	1	1	0	2	3
Usp37	0	0	0	1	0
Cnot9	0	1	0	2	0
Plcd4	0	0	0	0	0
Zfp142	0	0	2	1	0
Bcs1l	0	1	0	1	1
Rnf25	3	1	0	0	5
Ttll4	0	0	0	2	1
Cyp27a1	0	0	0	0	1
Wnt10a	0	0	0	0	0
Cdk5r2	1	3	0	2	2
Ihh	0	0	0	0	1
Cnppd1	2	2	0	1	1
Retreg2	3	0	1	3	2
Zfand2b	0	0	0	0	2
Atg9a	1	0	0	1	0
Ankzf1	2	0	0	2	1
Glb1l	0	0	0	1	0
Stk16	0	1	1	5	3
Tuba4a	11	4	6	9	9
D0jb2	2	2	1	4	3
Ptprn	8	3	6	8	8
Resp18	38	20	15	26	16
Dnpep	5	5	3	4	6
Des	1	1	0	0	0
Speg	3	1	3	0	1
Gmppa	1	2	1	6	5
Chpf	1	2	2	1	0
Obsl1	1	1	0	4	4
Tmem198	2	0	0	0	0
Inha	1	10	9	74	70
Stk11ip	1	0	1	1	1
Slc4a3	4	1	1	1	1
Epha4	1	0	1	2	2
Farsb	2	2	2	2	1
BC035947	1	0	0	0	0
Acsl3	3	1	0	1	2
Scg2	21	11	10	12	21
Wdfy1	0	0	0	0	1
Mrpl44	1	2	0	2	0
Serpine2	5	6	6	27	25
Cul3	0	2	1	4	1
Dock10	0	0	1	0	0
Irs1	0	2	0	1	1
Col4a4	0	0	0	2	3
Mff	4	0	2	8	5
Agfg1	0	0	1	0	2
Sphkap	0	1	0	0	0
Pid1	0	0	2	4	6
Dner	3	0	1	0	1
Trip12	2	2	2	2	5
Fbxo36	1	2	0	1	0
Rpl19-ps1	0	0	0	2	1
A530040E14Rik	1	0	0	1	0
Sp110	0	0	0	1	1
Sp100	1	1	1	2	0
Cab39	3	0	2	2	5
Itm2c	27	24	13	14	29
4933407L21Rik	0	0	0	0	0
Psmd1	5	3	5	7	8
Armc9	2	2	0	0	0
Ncl	9	16	4	20	28
Ptma	11	6	10	38	48
Pde6d	2	0	0	1	4
Cops7b	0	0	1	1	2
Dis3l2	1	0	0	1	4
Gm6136	4	6	4	13	13
Ecel1	3	0	0	3	1
Eif4e2	1	0	2	1	3
Efhd1	0	4	1	3	4
Gigyf2	1	2	1	3	7
Ngef	1	0	1	1	1
Inpp5d	0	0	0	1	1
Atg16l1	0	1	2	2	1
Sag	0	0	0	0	0
Dgkd	0	0	0	0	4
Usp40	0	0	1	0	6
Hjurp	2	2	2	8	5
Arl4c	2	0	0	1	0
Sh3bp4	0	1	0	0	0
Agap1	1	1	2	0	1
Ackr3	1	0	0	0	2
Cops8	4	1	0	2	1
Col6a3	1	1	0	3	1
Lrrfip1	1	1	0	1	0
Ramp1	1	5	7	6	12
Ube2f	1	0	0	1	5
Scly	0	1	0	0	0
Ilkap	0	0	0	1	2
Hes6	0	2	2	5	1
Per2	0	0	1	1	1
Traf3ip1	0	0	0	0	0
Asb1	0	1	0	0	1
Hdac4	0	1	0	3	2
Ndufa10	7	9	10	11	15
Cops9	9	2	9	11	16
Gpc1	1	0	0	1	1
Dusp28	1	0	0	1	0
Rnpepl1	2	0	0	1	2
Capn10	0	0	1	0	0
Kif1a	13	8	9	6	15
Sned1	2	0	1	3	5
Mterf4	0	2	0	1	1
Ppp1r7	1	0	1	1	2
Hdlbp	1	2	2	12	5
Gm17415	0	1	1	0	0
Stk25	1	3	3	2	4
Bok	1	0	0	0	1
Thap4	0	1	0	2	2
Atg4b	3	3	1	1	3
Dtymk	0	1	0	2	8
Ing5	1	3	0	1	1
Fam174a	0	0	0	1	0
Gm15427	3	7	8	7	15
Gm6430	0	2	0	3	4
D1Ertd622e	2	1	0	0	0
Ppip5k2	0	0	0	0	1
