	HypoPrepubertalDHT2	HypoPrepubertalDHT3	HypoPrepubertalDHT4	HypoPrepubertalCNT1	HypoPrepubertalCNT2	HypoPrepubertalCNT3	HypoPrepubertalCNT4
Gm6123	0	2	0	1	0	0	0
Mrpl15	0	1	1	0	1	1	0
Lypla1	0	1	0	0	0	0	0
Tcea1	0	2	1	0	2	1	0
Rgs20	0	0	0	0	0	4	0
Atp6v1h	4	3	3	1	1	2	1
Oprk1	0	0	0	0	0	0	0
Rb1cc1	1	0	1	0	0	1	0
Pcmtd1	0	1	0	0	0	0	0
Gm36964	0	0	0	0	0	0	0
Gm24276	0	0	0	1	0	0	0
Rrs1	0	0	0	0	0	0	1
Adhfe1	0	1	1	1	1	0	1
Gm6161	0	1	0	0	1	0	0
Vcpip1	0	1	0	0	2	0	0
Snhg6	0	0	0	1	2	0	1
Tcf24	0	0	0	0	0	0	0
Cops5	0	1	1	2	2	0	0
Cspp1	0	1	1	0	0	1	1
Arfgef1	0	1	2	0	1	2	0
Gm28659	0	2	0	0	0	0	0
Prex2	1	0	0	0	0	1	0
A830018L16Rik	1	0	1	0	0	0	0
Sulf1	0	0	0	0	1	0	0
Ncoa2	0	0	0	0	0	0	0
Gm38120	0	0	0	0	0	0	0
Tram1	0	0	0	0	0	1	0
Lactb2	1	0	0	0	0	0	1
Rpl5-ps1	0	0	0	0	0	0	1
Gm10566	1	0	0	0	0	0	0
Terf1	0	0	0	0	0	0	0
Rpl7	2	19	3	5	6	5	0
Rdh10	0	0	0	0	0	0	0
Stau2	1	0	0	0	3	0	0
Ube2w	0	1	0	0	0	0	0
Eloc	3	5	3	6	3	5	2
Tmem70	0	1	0	0	1	0	0
Ly96	0	0	0	0	0	0	0
Gdap1	0	0	0	1	1	0	0
Crispld1	0	0	0	0	0	0	0
Mcm3	0	0	0	0	1	0	0
Paqr8	0	0	1	0	1	1	0
Tmem14a	0	1	0	0	0	1	0
Gsta3	0	0	0	0	0	0	0
Rims1	1	0	0	0	0	0	0
Ogfrl1	1	1	1	0	0	0	0
B3gat2	0	0	0	0	0	0	0
Smap1	1	2	0	1	1	1	0
Sdhaf4	1	0	1	1	0	0	0
Fam135a	0	1	0	0	0	0	0
Tubb4b-ps2	0	0	0	0	0	0	0
Gm28439	0	0	0	0	0	0	0
Gm28438	1	6	4	1	3	2	3
Gm28437	78	196	71	105	89	81	45
Gm10925	56	140	58	51	85	73	14
Gm28661	36	83	28	28	34	28	11
Gm29216	46	51	38	35	32	44	16
Lmbrd1	0	0	1	1	1	0	0
Adgrb3	0	0	1	1	2	0	0
Gm5525	0	0	0	1	1	0	0
Phf3	0	0	0	0	0	0	0
Ptp4a1	0	2	1	0	1	0	0
Khdrbs2	1	0	0	0	0	1	1
Prim2	1	0	0	1	0	0	0
Rab23	0	0	0	0	0	0	0
Bag2	0	0	0	1	0	0	0
Zfp451	0	0	1	1	2	0	0
Bend6	0	0	1	2	0	0	1
Dst	1	4	2	3	1	2	2
Gm38157	1	0	0	0	1	0	0
Ccdc115	1	1	0	0	0	0	0
Imp4	1	2	0	0	1	2	0
Ptpn18	0	0	0	0	1	0	0
Arhgef4	2	2	2	2	2	4	0
Fam168b	3	4	3	3	1	0	0
Plekhb2	3	3	1	2	3	0	1
Hs6st1	0	0	0	0	1	0	0
Uggt1	0	1	2	0	0	0	1
Arid5a	1	0	1	0	0	0	1
Kansl3	3	2	0	1	1	2	1
Lman2l	0	1	1	0	0	0	0
Cnnm4	0	1	0	0	0	0	0
Cnnm3	1	1	0	0	1	1	0
Ankrd39	0	0	0	0	0	0	0
Sema4c	0	0	0	0	1	0	0
Cox5b	42	27	20	26	43	17	15
Actr1b	2	3	1	1	5	1	0
Zap70	0	0	1	0	0	0	0
Tmem131	0	0	0	0	0	0	0
Inpp4a	0	0	0	0	1	0	1
Coa5	1	2	1	0	0	0	0
Unc50	0	1	2	0	0	1	0
Mgat4a	0	0	0	0	1	0	0
2010300C02Rik	0	0	0	0	0	0	0
Tsga10	0	0	0	0	1	0	0
Lipt1	0	0	0	0	0	0	0
Mitd1	0	0	0	0	0	0	0
Mrpl30	5	1	1	1	2	2	1
Txndc9	0	1	2	0	1	2	0
Eif5b	1	4	2	1	3	2	0
Rev1	0	0	1	0	0	0	0
Aff3	0	0	2	0	0	0	0
Lonrf2	1	0	1	1	0	1	0
Chst10	1	1	1	1	0	0	0
Pdcl3	1	4	2	1	0	1	0
Rpl31	15	51	25	24	40	27	21
Tbc1d8	0	0	0	0	0	0	0
Cnot11	0	0	0	0	0	0	0
Rnf149	1	0	0	0	1	2	0
Creg2	0	0	0	1	0	1	0
Map4k4	1	1	1	0	1	0	1
Gm16894	0	0	0	0	1	0	0
Il1r1	0	0	0	0	0	0	0
Slc9a2	0	0	1	0	0	0	0
Pantr1	0	0	0	0	3	0	0
Mrps9	0	1	1	1	0	2	2
Gpr45	0	0	0	0	0	1	1
Tgfbrap1	0	1	0	0	0	0	1
Fhl2	2	0	0	0	0	1	0
Gm8210	0	2	1	0	0	0	0
Nck2	0	1	0	0	0	1	0
Uxs1	1	0	0	0	0	1	0
Tpp2	0	2	0	1	0	1	0
Mettl21c	0	0	0	0	0	0	0
Tex30	0	1	0	0	0	0	0
Kdelc1	0	0	0	0	0	0	0
Bivm	1	0	0	0	0	0	0
Ercc5	0	1	0	0	1	0	0
Gulp1	0	0	0	0	0	0	0
Col3a1	4	2	1	5	3	0	2
Col5a2	2	1	0	0	0	0	0
Wdr75	0	1	0	0	0	0	0
Gm5526	1	0	0	0	0	0	0
D0h7b	0	0	0	0	1	0	0
Gm8326	1	0	0	1	0	0	1
Slc39a10	1	0	0	0	0	0	0
Gm8337	0	0	0	1	0	0	0
Tmeff2	1	0	0	0	1	0	0
Cavin2	1	2	1	1	0	1	1
0bp1	2	0	0	0	0	1	0
Myo1b	0	1	0	0	0	0	0
Stat1	1	0	0	0	0	1	1
Gls	4	2	0	2	1	0	0
0b1	0	0	0	1	0	0	0
Nemp2	0	0	0	0	0	0	0
Mfsd6	0	0	0	1	0	1	1
Inpp1	0	0	0	0	0	0	1
Hibch	0	0	0	0	1	0	0
Pms1	0	1	0	0	0	0	0
Ormdl1	0	0	0	0	0	1	0
Osgepl1	0	0	0	0	0	0	0
D0h7a	0	0	0	0	0	0	0
Stk17b	0	0	0	1	0	0	0
Hecw2	0	0	1	0	0	0	0
Gtf3c3	0	1	0	0	1	0	1
Pgap1	0	1	0	0	2	0	0
Ankrd44	0	0	0	0	0	0	0
Sf3b1	5	2	5	6	4	0	0
Coq10b	0	0	0	0	0	1	0
Gm17971	0	0	0	0	0	0	0
Hspd1	5	14	9	13	6	16	1
Hspe1	15	15	11	6	17	15	5
Mob4	1	3	2	0	1	1	0
Rftn2	0	0	1	0	0	0	0
Gm8292	4	6	2	5	7	2	3
Plcl1	2	0	0	0	0	1	0
Tyw5	0	0	0	1	0	0	0
Maip1	0	0	0	1	1	0	0
Spats2l	1	0	0	0	0	1	0
Kctd18	0	0	0	0	1	0	0
Aox1	1	0	1	0	0	0	0
Bzw1	2	4	2	0	4	1	1
Clk1	2	1	0	0	1	1	0
Ppil3	1	1	0	1	0	0	0
Nif3l1	1	2	1	0	1	0	1
Orc2	1	0	0	0	0	0	0
Fam126b	0	0	2	1	2	0	0
Ndufb3	10	12	10	6	10	9	8
Cflar	0	1	1	0	0	0	0
Casp8	0	0	0	0	0	1	0
Gm37760	0	0	0	0	0	0	0
Trak2	0	2	1	0	1	2	1
Stradb	0	0	0	0	0	0	0
Tmem237	0	0	0	0	0	0	0
Als2	0	1	0	0	0	1	0
Gm973	0	0	0	0	0	0	0
Sumo1	7	8	4	4	5	3	1
Nop58	1	4	2	0	1	1	2
Bmpr2	0	3	1	0	0	2	0
Fam117b	1	2	1	2	1	3	0
Ica1l	0	0	1	0	0	0	0
Wdr12	0	1	0	0	0	1	0
Carf	0	0	0	0	3	0	0
Nbeal1	0	0	0	0	0	0	0
Cyp20a1	0	2	1	0	0	0	0
Abi2	1	1	0	0	0	1	0
Raph1	0	0	0	0	0	0	0
Eif4a-ps4	1	2	2	2	4	1	0
Cd28	0	0	0	0	0	0	0
Rpl18-ps1	0	1	1	3	1	2	0
Gm11599	0	0	0	0	1	4	2
Nrp2	1	1	3	2	2	1	1
Ino80d	0	0	2	0	1	3	0
Ino80dos	0	0	0	1	0	0	0
Gm20342	0	0	2	0	0	1	0
Ndufs1	0	3	2	0	3	1	1
Eef1b2	1	8	4	6	2	5	4
Adam23	1	2	0	0	2	2	1
Fastkd2	0	1	0	0	0	0	0
Klf7	0	1	3	2	2	1	0
Creb1	0	0	0	0	1	0	0
Mettl21a	0	0	0	0	0	0	0
Plekhm3	0	0	0	0	0	1	0
Rpl10a-ps1	0	0	1	0	0	0	0
Akr1cl	6	48	2	8	8	8	3
Gm7329	0	2	1	0	1	0	0
D630023F18Rik	0	0	0	0	0	0	0
Idh1	1	5	2	2	6	3	1
Pikfyve	0	0	0	1	1	0	0
Gm28927	0	1	0	0	0	0	0
Map2	4	4	3	1	2	2	3
Unc80	0	0	1	3	3	1	0
Rpe	0	0	0	1	1	0	0
Acadl	1	6	0	0	2	0	0
