	OvaryNF1	OvaryNF2	OvaryNF3	OvaryNF4	OvaryB1	OvaryB3	OvaryB4
Xkr4	0	0	0	0	0	0	0
Gm37180	0	1	1	0	0	0	1
Gm37363	0	0	0	0	0	0	0
Gm19938	0	1	0	0	1	0	0
Gm37381	0	0	1	0	0	0	0
Rp1	0	2	0	0	0	1	0
Sox17	3	8	14	9	12	10	13
Gm37587	0	1	0	1	0	1	0
Gm7357	0	0	0	0	1	0	1
Gm22307	0	0	0	0	0	0	0
Gm7369	0	0	0	0	0	0	2
Gm6085	12	9	11	12	19	13	9
Gm6119	0	1	0	0	1	0	2
Gm2053	0	1	0	0	0	0	0
Gm6123	2	13	13	6	15	7	10
Mrpl15	85	160	135	101	159	136	126
Gm37144	0	0	0	0	1	0	0
Lypla1	46	75	71	65	87	79	55
Tcea1	116	214	226	170	243	221	177
Gm6104	1	8	8	6	8	8	8
Rgs20	0	0	0	0	1	0	0
Atp6v1h	88	177	188	147	237	191	154
Gm37567	0	0	0	0	0	0	1
Rb1cc1	80	140	124	94	140	173	116
4732440D04Rik	5	5	5	6	6	6	11
Gm2147	0	2	0	1	0	1	0
Gm19026	0	0	0	0	1	1	0
St18	0	1	0	0	0	0	0
Gm7449	0	0	1	0	1	0	1
Gm37108	3	9	5	6	8	7	11
Pcmtd1	86	174	161	116	196	164	110
Gm26983	0	1	0	0	2	0	4
Gm38372	2	4	3	2	4	3	2
Gm9826	5	10	7	5	8	14	11
Gm26901	2	3	7	6	6	3	3
Rps2-ps2	3	0	2	0	2	2	5
Sntg1	0	0	2	0	0	0	1
Gm16284	0	0	0	0	0	1	1
Gm15452	0	2	0	1	3	2	1
Gm36964	15	25	23	30	39	33	39
Gm24276	15	20	9	35	23	44	52
Gm7445	0	0	1	0	0	2	1
Gm7493	0	0	1	1	1	0	2
Gm38008	0	0	0	0	0	0	0
Gm18299	1	0	0	0	0	0	0
Rrs1	32	81	65	54	72	65	64
Adhfe1	22	62	41	22	72	34	38
2610203C22Rik	1	4	8	5	5	0	2
Gm6161	16	30	25	30	47	45	45
3110035E14Rik	0	0	0	0	0	0	0
Mybl1	0	6	3	4	12	4	3
Vcpip1	32	60	63	57	98	73	56
1700034P13Rik	0	0	1	1	3	2	1
Sgk3	14	20	29	12	52	33	24
Gm6195	0	2	0	0	0	0	0
Mcmdc2	1	4	5	1	7	5	4
Snhg6	124	231	226	223	267	234	242
Tcf24	5	11	8	3	5	3	1
Ppp1r42	0	0	0	0	1	0	0
Cops5	139	234	214	189	334	249	194
Cspp1	68	97	111	97	158	113	93
Arfgef1	131	246	232	217	338	271	191
Gm26348	1	0	0	0	0	0	0
Gm37569	1	1	4	1	7	1	3
Gm15604	0	0	3	2	1	0	0
Gm28659	36	40	40	28	39	41	60
Prex2	12	16	18	8	22	18	14
A830018L16Rik	0	0	1	0	1	0	0
Gm7560	1	2	0	1	2	1	1
Gm2383	0	0	0	3	4	2	1
Sulf1	11	18	13	12	35	27	13
Slco5a1	1	3	4	0	1	2	2
Gm29283	0	0	0	0	0	0	1
Ncoa2	47	66	81	60	96	63	63
Gm38376	2	3	1	3	1	2	1
Gm37409	0	8	3	6	2	2	3
Gm38223	1	1	1	2	1	0	1
Gm37702	0	2	0	0	0	1	0
Gm38120	13	3	11	8	13	10	6
Gm38380	4	15	10	15	11	6	5
Gm7593	0	0	0	0	0	0	0
Tram1	66	146	159	111	168	160	139
Lactb2	22	38	51	46	69	76	39
Gm38319	2	1	1	4	1	1	0
Gm5523	0	0	2	0	1	1	0
Eya1	2	6	1	0	6	2	1
Gm9947	0	0	1	1	2	0	0
Msc	4	8	13	2	9	9	10
Smt3h2-ps4	5	4	7	6	10	8	7
Rpl5-ps1	25	37	29	38	45	51	45
Trpa1	0	2	0	0	0	0	2
Gm10566	4	10	8	4	10	10	8
Kcnb2	0	1	3	2	4	1	0
Gm38116	0	1	0	0	0	1	0
Gm37138	0	0	0	0	0	0	1
Gm6060	0	0	2	0	0	1	0
Terf1	57	66	76	75	124	122	96
Gm37509	0	1	0	0	0	0	1
Sbspon	0	0	1	1	0	3	1
Gm7634	0	3	3	4	8	2	5
4930444P10Rik	0	0	0	0	0	0	0
Rpl7	1128	2095	2137	2073	2601	2468	1843
Rdh10	12	25	26	25	25	26	20
Stau2	26	34	36	31	44	43	32
Ube2w	53	109	124	78	171	122	79
Gm38342	1	0	0	0	0	0	1
Eloc	295	458	557	460	658	573	483
D030040B21Rik	0	0	0	0	0	0	0
Tmem70	58	90	126	87	147	103	91
Ly96	18	66	51	40	73	46	44
Gm5828	0	1	0	0	1	1	1
Gm28376	0	1	0	0	1	0	0
Jph1	2	3	5	5	7	6	3
Gdap1	0	2	2	3	3	1	2
Gm28784	0	1	1	2	0	3	0
Gm5251	0	3	2	0	1	2	1
Rbm6-ps1	1	0	1	1	0	0	3
Gm6075	0	1	0	0	1	0	2
Pi15	9	15	12	9	13	15	14
Gm28154	0	1	0	1	3	0	0
Gm16070	1	2	1	0	4	2	1
Crispld1	6	14	12	16	32	19	12
Gm7690	0	1	0	0	1	0	0
Gm17837	0	0	0	0	0	0	0
Gm10075	1	6	2	6	6	5	1
Tfap2b	0	0	1	0	0	1	0
Gm4849	1	0	1	1	3	2	1
Gm15795	1	1	1	0	6	0	4
Il17f	0	1	0	0	2	3	1
Mcm3	55	85	89	55	101	86	56
Gm28065	1	2	4	0	1	3	1
6720483E21Rik	3	2	1	1	1	0	1
