	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1HV1	OvaryPNAF1HV2	OvaryPNAF1HV3
Xkr4	1	2	2	1	0	1
Gm37180	0	0	2	0	1	0
Gm37363	0	1	1	0	0	0
Gm19938	0	2	1	0	1	0
Gm37381	0	0	0	0	0	1
Rp1	0	1	0	0	0	1
Sox17	14	29	12	30	37	34
Gm37587	0	0	1	2	0	2
Gm7357	0	3	1	1	0	2
Gm22307	0	0	0	0	0	1
Gm7369	1	0	1	0	0	0
Gm6085	9	17	16	17	11	16
Gm6119	0	2	1	0	1	2
Gm2053	1	1	0	1	0	0
Gm6123	3	11	14	23	13	14
Mrpl15	93	245	151	224	203	175
Gm37144	1	0	0	0	0	1
Lypla1	81	162	161	118	107	121
Tcea1	139	361	247	283	235	212
Gm6104	2	12	4	9	9	7
Rgs20	0	0	0	0	0	0
Atp6v1h	134	329	316	367	345	289
Gm37567	1	0	0	0	0	0
Rb1cc1	85	211	170	131	172	92
4732440D04Rik	7	11	12	12	13	7
Gm2147	0	0	0	0	0	0
Gm19026	0	1	0	0	2	1
St18	0	0	0	0	0	0
Gm7449	0	0	0	0	0	0
Gm37108	10	21	15	18	14	6
Pcmtd1	128	216	242	215	171	133
Gm26983	1	2	1	3	0	3
Gm38372	2	7	6	2	1	1
Gm9826	7	13	11	10	8	3
Gm26901	0	8	6	8	5	6
Rps2-ps2	4	9	3	2	6	3
Sntg1	0	0	1	0	0	0
Gm16284	0	0	1	0	0	0
Gm15452	2	1	1	2	4	4
Gm36964	58	65	75	30	45	46
Gm24276	28	73	62	27	41	46
Gm7445	0	1	1	1	1	1
Gm7493	0	0	3	2	0	1
Gm38008	0	0	1	0	0	0
Gm18299	0	0	0	1	1	0
Rrs1	31	104	81	101	108	68
Adhfe1	14	55	54	29	26	27
2610203C22Rik	1	16	15	12	8	15
Gm6161	17	54	97	88	54	37
3110035E14Rik	0	0	0	0	0	0
Mybl1	4	7	6	4	3	6
Vcpip1	47	100	98	108	61	78
1700034P13Rik	0	2	4	0	1	2
Sgk3	23	46	41	30	27	29
Gm6195	0	0	1	0	0	0
Mcmdc2	2	9	4	4	3	1
Snhg6	233	372	351	202	220	235
Tcf24	5	16	16	9	16	11
Ppp1r42	0	0	0	0	0	0
Cops5	187	410	417	425	372	322
Cspp1	71	152	177	113	104	87
Arfgef1	208	401	387	358	356	234
Gm26348	2	0	0	2	0	0
Gm37569	3	3	5	2	2	0
Gm15604	1	1	2	0	3	1
Gm28659	18	67	49	51	46	50
Prex2	17	52	36	31	23	25
A830018L16Rik	1	1	2	1	0	0
Gm7560	1	2	2	0	0	1
Gm2383	2	6	6	4	6	3
Sulf1	21	45	25	19	24	27
Slco5a1	1	2	0	2	1	0
Gm29283	0	0	0	0	0	0
Ncoa2	47	95	95	102	69	64
Gm38376	4	1	1	1	3	1
Gm37409	1	4	3	5	0	0
Gm38223	0	4	0	1	1	0
Gm37702	0	1	1	1	1	0
Gm38120	4	18	13	8	11	7
Gm38380	5	21	18	14	15	8
Gm7593	0	1	0	1	0	0
Tram1	115	288	180	242	222	176
Lactb2	48	110	71	97	98	74
Gm38319	0	2	4	0	2	0
Gm5523	1	4	0	1	4	2
Eya1	1	4	0	1	4	1
Gm9947	0	1	0	2	0	0
Msc	0	8	6	1	2	4
Smt3h2-ps4	3	11	8	11	6	8
Rpl5-ps1	28	59	62	51	35	36
Trpa1	0	1	3	1	3	0
Gm10566	6	12	16	12	8	8
Kcnb2	1	3	2	0	1	0
Gm38116	0	1	1	0	0	0
Gm37138	0	0	0	0	0	0
Gm6060	0	0	2	0	1	0
Terf1	48	116	111	80	87	73
Gm37509	0	3	0	2	0	0
Sbspon	1	2	0	5	4	4
Gm7634	1	7	2	3	3	2
4930444P10Rik	0	0	0	2	0	0
Rpl7	1884	2762	2394	1864	1879	1883
Rdh10	28	40	28	31	26	25
Stau2	17	47	46	45	36	35
Ube2w	64	179	123	181	175	114
Gm38342	0	1	0	1	0	0
Eloc	335	826	1027	702	772	658
D030040B21Rik	0	2	0	1	0	0
Tmem70	87	216	133	203	189	160
Ly96	55	119	83	127	131	111
Gm5828	1	1	0	1	1	1
Gm28376	0	0	0	0	3	0
Jph1	6	12	3	13	9	5
Gdap1	0	6	1	1	2	1
Gm28784	2	2	0	1	0	0
Gm5251	0	2	1	1	1	1
Rbm6-ps1	1	2	4	0	1	1
Gm6075	1	0	0	0	1	0
Pi15	8	18	24	14	12	8
Gm28154	0	0	1	1	1	1
Gm16070	0	2	1	0	2	1
Crispld1	14	30	22	25	20	27
Gm7690	1	0	0	1	0	0
Gm17837	0	1	1	0	0	1
Gm10075	4	5	3	12	10	4
Tfap2b	0	0	0	0	0	0
Gm4849	1	1	0	3	7	2
Gm15795	0	4	5	6	5	4
Il17f	0	2	3	1	1	1
Mcm3	40	123	115	73	83	58
Gm28065	0	0	1	0	0	0
6720483E21Rik	1	2	2	2	5	2
Paqr8	6	35	66	36	34	30
Gm24171	0	0	0	0	0	0
Efhc1	2	7	7	12	10	7
Tram2	17	53	64	38	23	20
Gm2693	2	12	15	12	14	9
Tmem14a	21	49	52	61	49	46
Gm38224	0	0	0	0	0	0
Gsta3	33	54	65	50	60	36
Gm28836	1	4	0	3	0	1
Gm7094	1	6	3	2	1	2
Gm4956	1	2	4	2	1	1
Khdc1a	6	21	12	10	7	8
Gm16329	0	0	1	0	0	0
Khdc1c	2	7	4	2	0	3
Khdc1b	33	71	62	50	37	23
Kcnq5	4	10	13	3	2	5
Gm36949	0	1	1	1	0	0
Gm7658	6	18	15	14	12	14
Gm38243	0	10	12	0	2	0
Gm26580	0	0	1	0	0	0
Rims1	0	1	1	3	0	0
4933415F23Rik	0	0	0	1	0	0
Mir30a	1	1	0	0	1	0
Gm27028	0	1	4	2	1	3
Gm29107	7	9	9	4	14	6
Ogfrl1	21	44	37	32	36	19
B3gat2	3	3	0	1	0	0
Smap1	76	168	136	148	156	131
Sdhaf4	71	194	166	243	240	203
Fam135a	34	79	68	67	61	39
Col9a1	0	0	1	0	0	0
Col19a1	0	0	0	0	1	1
Tubb4b-ps2	11	16	8	7	4	7
Gm28439	10	25	13	18	13	6
Gm10222	22	42	37	19	33	19
Gm28438	453	779	901	654	712	689
Gm28437	10117	19894	18328	20604	20757	15398
Gm10925	7957	14492	11661	14164	15039	12435
Gm28661	6008	8381	8184	7900	8093	6853
Gm29216	3130	5195	5550	4962	5381	4643
Lmbrd1	107	201	147	173	149	130
Gm9443	0	1	1	0	0	0
Adgrb3	0	1	0	1	0	0
Gm15702	1	0	0	0	0	0
2900022M07Rik	0	0	1	1	0	0
Gm19028	0	0	0	0	0	0
Gm7846	9	28	17	25	26	18
Gm5697	0	1	1	2	0	0
Gm6462	0	0	1	0	0	0
Gm5525	39	91	67	58	53	62
Gm6473	0	0	1	3	0	1
Phf3	80	202	167	147	115	90
Gm37522	5	2	4	0	2	0
Gm37906	5	2	10	2	4	3
Ptp4a1	29	85	71	87	66	53
4931428L18Rik	2	2	5	9	6	6
Gm19680	3	4	4	2	4	3
Khdrbs2	1	0	1	1	3	2
Gm37999	1	0	0	0	0	0
Gm37110	0	1	0	2	0	1
Gm37792	2	0	0	0	0	0
Gm7114	0	0	3	0	0	1
Prim2	28	55	38	51	42	43
Gm29228	1	4	1	2	2	2
Gm37618	1	0	1	0	0	0
Gm17813	0	0	0	0	0	0
1700001G17Rik	2	6	2	3	3	3
Rab23	14	38	33	27	29	19
Bag2	26	80	69	68	67	70
Zfp451	70	144	154	127	109	100
Gm15455	0	1	1	2	1	0
