	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1DHT1	OvaryPNAF1DHT2	OvaryPNAF1DHT4
Xkr4	1	2	2	1	0	0
Gm37180	0	0	2	0	0	1
Gm37363	0	1	1	2	0	0
Gm19938	0	2	1	0	1	1
Gm37381	0	0	0	1	0	2
Rp1	0	1	0	4	1	0
Sox17	14	29	12	13	7	27
Gm37587	0	0	1	0	0	0
Gm7357	0	3	1	0	0	3
Gm22307	0	0	0	0	0	1
Gm7369	1	0	1	1	0	1
Gm6085	9	17	16	5	12	16
Gm6119	0	2	1	0	0	2
Gm2053	1	1	0	0	0	1
Gm6123	3	11	14	8	2	13
Mrpl15	93	245	151	114	97	174
Gm37144	1	0	0	0	3	1
Lypla1	81	162	161	105	62	245
Tcea1	139	361	247	168	119	265
Gm6104	2	12	4	2	5	7
Rgs20	0	0	0	0	0	0
Atp6v1h	134	329	316	200	135	361
Gm37567	1	0	0	0	2	0
Rb1cc1	85	211	170	140	97	242
4732440D04Rik	7	11	12	7	9	10
Gm2147	0	0	0	0	1	1
Gm19026	0	1	0	0	0	0
St18	0	0	0	0	0	0
Gm7449	0	0	0	0	0	0
Gm37108	10	21	15	9	11	50
Pcmtd1	128	216	242	158	112	251
Gm26983	1	2	1	0	0	16
Gm38372	2	7	6	2	2	2
Gm9826	7	13	11	6	5	4
Gm26901	0	8	6	5	1	5
Rps2-ps2	4	9	3	3	1	29
Sntg1	0	0	1	0	0	1
Gm16284	0	0	1	0	0	2
Gm15452	2	1	1	0	1	4
Gm36964	58	65	75	54	38	380
Gm24276	28	73	62	32	28	261
Gm7445	0	1	1	0	0	1
Gm7493	0	0	3	1	0	0
Gm38008	0	0	1	0	0	1
Gm18299	0	0	0	0	0	0
Rrs1	31	104	81	37	29	107
Adhfe1	14	55	54	13	13	35
2610203C22Rik	1	16	15	4	4	6
Gm6161	17	54	97	21	24	7
3110035E14Rik	0	0	0	1	0	2
Mybl1	4	7	6	2	2	10
Vcpip1	47	100	98	58	47	146
1700034P13Rik	0	2	4	0	3	0
Sgk3	23	46	41	29	15	33
Gm6195	0	0	1	0	0	0
Mcmdc2	2	9	4	3	4	2
Snhg6	233	372	351	286	212	291
Tcf24	5	16	16	6	8	22
Ppp1r42	0	0	0	0	0	1
Cops5	187	410	417	223	181	451
Cspp1	71	152	177	90	64	126
Arfgef1	208	401	387	243	188	491
Gm26348	2	0	0	1	0	0
Gm37569	3	3	5	4	2	8
Gm15604	1	1	2	1	1	9
Gm28659	18	67	49	28	23	33
Prex2	17	52	36	16	11	39
A830018L16Rik	1	1	2	0	0	0
Gm7560	1	2	2	1	1	0
Gm2383	2	6	6	5	0	11
Sulf1	21	45	25	32	21	51
Slco5a1	1	2	0	1	1	13
Gm29283	0	0	0	0	0	1
Ncoa2	47	95	95	57	37	130
Gm38376	4	1	1	2	1	3
Gm37409	1	4	3	2	2	2
Gm38223	0	4	0	0	1	1
Gm37702	0	1	1	0	1	5
Gm38120	4	18	13	9	8	28
Gm38380	5	21	18	10	6	27
Gm7593	0	1	0	0	1	1
Tram1	115	288	180	175	113	413
Lactb2	48	110	71	63	40	104
Gm38319	0	2	4	3	0	3
Gm5523	1	4	0	2	1	13
Eya1	1	4	0	3	0	0
Gm9947	0	1	0	1	0	0
Msc	0	8	6	0	2	8
Smt3h2-ps4	3	11	8	4	4	10
Rpl5-ps1	28	59	62	47	26	88
Trpa1	0	1	3	0	0	0
Gm10566	6	12	16	4	6	7
Kcnb2	1	3	2	2	1	2
Gm38116	0	1	1	0	1	0
Gm37138	0	0	0	0	0	0
Gm6060	0	0	2	2	0	5
Terf1	48	116	111	69	43	92
Gm37509	0	3	0	0	0	0
Sbspon	1	2	0	2	3	2
Gm7634	1	7	2	2	6	1
4930444P10Rik	0	0	0	0	0	2
Rpl7	1884	2762	2394	2269	1954	2544
Rdh10	28	40	28	27	20	72
Stau2	17	47	46	37	22	74
Ube2w	64	179	123	79	76	152
Gm38342	0	1	0	0	1	3
Eloc	335	826	1027	404	370	551
D030040B21Rik	0	2	0	1	0	1
Tmem70	87	216	133	104	72	211
Ly96	55	119	83	57	40	93
Gm5828	1	1	0	0	1	0
Gm28376	0	0	0	0	2	2
Jph1	6	12	3	12	3	20
Gdap1	0	6	1	1	0	2
Gm28784	2	2	0	0	1	1
Gm5251	0	2	1	1	1	0
Rbm6-ps1	1	2	4	0	1	5
Gm6075	1	0	0	1	0	2
Pi15	8	18	24	6	3	15
Gm28154	0	0	1	0	0	1
Gm16070	0	2	1	0	1	1
Crispld1	14	30	22	12	12	21
Gm7690	1	0	0	0	0	0
Gm17837	0	1	1	0	0	1
Gm10075	4	5	3	6	3	9
Tfap2b	0	0	0	0	0	0
Gm4849	1	1	0	2	3	3
Gm15795	0	4	5	3	1	15
Il17f	0	2	3	1	0	1
Mcm3	40	123	115	54	31	96
Gm28065	0	0	1	0	0	0
6720483E21Rik	1	2	2	0	0	2
Paqr8	6	35	66	21	12	36
Gm24171	0	0	0	0	0	0
Efhc1	2	7	7	4	4	11
Tram2	17	53	64	33	21	56
Gm2693	2	12	15	3	5	6
Tmem14a	21	49	52	36	23	41
Gm38224	0	0	0	0	1	1
Gsta3	33	54	65	27	14	34
Gm28836	1	4	0	0	0	1
Gm7094	1	6	3	3	0	3
Gm4956	1	2	4	2	0	1
Khdc1a	6	21	12	8	10	5
Gm16329	0	0	1	0	0	0
Khdc1c	2	7	4	3	2	7
Khdc1b	33	71	62	47	23	39
Kcnq5	4	10	13	7	3	1
Gm36949	0	1	1	1	0	0
Gm7658	6	18	15	7	4	36
Gm38243	0	10	12	0	0	1
Gm26580	0	0	1	0	0	0
Rims1	0	1	1	0	1	2
4933415F23Rik	0	0	0	0	0	1
Mir30a	1	1	0	0	0	0
Gm27028	0	1	4	0	2	0
Gm29107	7	9	9	2	2	2
Ogfrl1	21	44	37	31	21	67
B3gat2	3	3	0	0	2	4
Smap1	76	168	136	89	57	302
Sdhaf4	71	194	166	85	80	109
Fam135a	34	79	68	53	41	100
Col9a1	0	0	1	0	0	0
Col19a1	0	0	0	0	0	1
Tubb4b-ps2	11	16	8	14	15	58
Gm28439	10	25	13	8	6	10
Gm10222	22	42	37	18	15	5
Gm28438	453	779	901	468	344	2505
Gm28437	10117	19894	18328	11310	9406	12319
Gm10925	7957	14492	11661	8780	7329	14427
Gm28661	6008	8381	8184	6489	5297	9272
Gm29216	3130	5195	5550	3493	2739	12988
Lmbrd1	107	201	147	126	87	279
Gm9443	0	1	1	0	0	1
Adgrb3	0	1	0	0	0	1
Gm15702	1	0	0	0	0	1
2900022M07Rik	0	0	1	0	0	0
Gm19028	0	0	0	0	1	0
Gm7846	9	28	17	11	6	20
Gm5697	0	1	1	0	0	0
Gm6462	0	0	1	0	0	0
Gm5525	39	91	67	55	46	58
Gm6473	0	0	1	3	2	0
Phf3	80	202	167	97	79	213
Gm37522	5	2	4	3	1	1
Gm37906	5	2	10	5	2	8
Ptp4a1	29	85	71	50	23	96
4931428L18Rik	2	2	5	4	1	2
Gm19680	3	4	4	0	3	10
Khdrbs2	1	0	1	2	0	2
Gm37999	1	0	0	0	1	2
