	OvaryPrepubertalDHT1	OvaryPrepubertalDHT2	OvaryPrepubertalDHT3	OvaryPrepubertalDHT4	OvaryPrepubertalCNT2	OvaryPrepubertalCNT3	OvaryPrepubertalCNT4
Xkr4	1	1	0	0	2	1	1
Gm37180	0	0	2	0	2	2	1
Gm37363	0	0	0	0	0	0	0
Gm19938	1	0	2	0	1	2	1
Gm37381	0	0	0	1	0	0	0
Rp1	0	0	1	0	0	1	0
Sox17	23	8	10	15	15	14	11
Gm37587	0	0	0	1	2	1	0
Gm7357	2	0	0	0	1	1	1
Gm22307	0	1	0	0	1	0	0
Gm7369	1	0	1	0	0	0	1
Gm6085	10	9	5	14	8	9	13
Gm6119	0	0	0	0	0	0	0
Gm2053	0	0	1	0	1	1	0
Gm6123	7	5	6	14	10	10	5
Mrpl15	184	100	163	184	141	139	83
Gm37144	0	0	0	1	0	1	0
Lypla1	88	37	85	83	89	74	34
Tcea1	223	109	172	246	204	184	98
Gm6104	5	3	1	9	6	7	3
Rgs20	0	0	0	1	0	0	0
Atp6v1h	249	84	218	187	254	211	112
Gm37567	0	0	0	0	0	0	1
Rb1cc1	115	57	106	149	136	124	70
4732440D04Rik	9	6	5	11	6	5	4
Gm2147	0	0	0	1	0	0	0
Gm19026	0	0	0	1	0	0	1
St18	1	0	0	1	0	0	0
Gm7449	0	0	0	2	1	2	0
Gm37108	22	9	14	13	17	14	9
Pcmtd1	145	68	140	171	190	137	62
Gm26983	4	1	0	1	0	1	1
Gm38372	5	3	5	0	3	1	2
Gm9826	9	2	11	14	7	8	12
Gm26901	4	2	2	7	2	3	2
Rps2-ps2	0	2	0	0	2	6	1
Sntg1	5	1	1	1	1	1	0
Gm16284	0	0	0	0	0	0	0
Gm15452	0	0	1	3	0	3	0
Gm36964	48	20	20	38	64	56	60
Gm24276	29	16	27	41	30	20	24
Gm7445	1	0	1	1	1	0	1
Gm7493	1	1	0	1	0	1	1
Gm38008	0	0	0	1	1	0	0
Gm18299	0	0	0	0	0	0	0
Rrs1	77	37	57	89	42	48	29
Adhfe1	28	52	35	142	27	30	12
2610203C22Rik	4	2	3	2	8	13	2
Gm6161	34	22	30	53	41	28	23
3110035E14Rik	0	1	0	0	0	0	0
Mybl1	5	2	1	9	7	2	0
Vcpip1	66	28	45	69	75	59	31
1700034P13Rik	3	0	2	0	0	1	0
Sgk3	39	25	30	63	29	16	12
Gm6195	0	0	0	0	0	0	0
Mcmdc2	5	5	3	8	4	3	0
Snhg6	333	204	272	352	329	343	249
Tcf24	13	10	16	25	9	4	3
Ppp1r42	0	0	0	1	0	0	0
Cops5	311	113	259	257	302	312	152
Cspp1	88	81	83	153	136	95	62
Arfgef1	246	118	223	310	235	235	132
Gm26348	1	0	0	0	0	0	0
Gm37569	4	3	2	8	8	3	1
Gm15604	0	0	1	0	0	3	0
Gm28659	41	28	36	51	36	44	49
Prex2	21	14	16	32	29	29	11
A830018L16Rik	0	2	1	1	0	0	0
Gm7560	0	0	2	1	0	0	0
Gm2383	3	2	0	2	6	3	1
Sulf1	23	7	21	31	20	21	12
Slco5a1	1	1	3	2	2	3	0
Gm29283	0	1	0	1	0	0	0
Ncoa2	75	39	55	103	55	50	26
Gm38376	4	2	3	3	2	1	4
Gm37409	3	1	1	6	2	3	1
Gm38223	2	0	0	1	0	1	0
Gm37702	0	2	0	2	1	1	0
Gm38120	8	5	4	14	6	8	1
Gm38380	14	7	9	24	15	9	7
Gm7593	0	0	0	0	0	0	0
Tram1	195	75	146	175	154	145	71
Lactb2	62	12	73	48	83	80	31
Gm38319	2	0	1	3	0	3	0
Gm5523	1	0	0	1	0	1	3
Eya1	1	5	4	6	1	0	0
Gm9947	0	0	0	3	0	0	0
Msc	3	1	5	8	3	3	0
Smt3h2-ps4	5	1	6	9	2	4	2
Rpl5-ps1	38	30	36	53	40	44	44
Trpa1	1	1	0	0	1	0	1
Gm10566	19	2	8	8	9	13	14
Kcnb2	0	2	2	6	0	0	0
Gm38116	0	0	0	1	0	0	0
Gm37138	1	0	0	1	0	0	0
Gm6060	0	0	2	0	1	0	2
Terf1	73	64	52	93	79	65	27
Gm37509	0	0	0	1	0	0	0
Sbspon	2	2	1	2	1	1	1
Gm7634	0	1	4	6	6	8	4
4930444P10Rik	0	0	0	1	0	0	0
Rpl7	2059	1438	2049	2727	2908	2817	1218
Rdh10	37	6	21	22	23	22	7
Stau2	37	16	21	47	37	30	14
Ube2w	134	53	116	130	117	106	41
Gm38342	0	0	0	0	1	1	0
Eloc	628	341	567	611	609	597	269
D030040B21Rik	0	0	0	0	0	0	0
Tmem70	137	60	111	98	146	129	64
Ly96	94	41	78	71	86	125	50
Gm5828	0	0	0	2	1	1	0
Gm28376	0	0	1	0	1	0	0
Jph1	12	0	7	2	8	6	1
Gdap1	1	3	0	5	1	1	1
Gm28784	0	0	0	2	0	0	1
Gm5251	0	1	2	0	1	1	1
Rbm6-ps1	0	0	0	2	0	0	0
Gm6075	1	3	2	2	0	2	0
Pi15	11	6	7	12	8	5	1
Gm28154	1	0	2	2	1	1	0
Gm16070	1	2	0	2	1	6	0
Crispld1	21	11	13	20	23	15	10
Gm7690	0	0	0	0	0	0	0
Gm17837	0	2	0	0	1	0	0
Gm10075	4	3	2	5	1	1	1
Tfap2b	0	0	0	1	0	0	0
Gm4849	2	1	1	3	1	5	2
Gm15795	0	1	0	3	1	2	3
Il17f	0	1	0	2	1	0	0
Mcm3	58	50	57	118	47	52	32
Gm28065	0	0	0	0	0	0	0
6720483E21Rik	0	0	4	1	0	2	1
Paqr8	31	26	15	43	20	14	5
Gm24171	0	0	0	0	0	1	0
Efhc1	2	7	3	11	7	4	4
Tram2	33	37	15	76	23	16	10
Gm2693	10	10	12	17	4	5	1
Tmem14a	41	32	20	74	44	28	34
Gm38224	1	0	0	0	2	0	1
Gsta3	234	90	192	184	41	34	23
Gm28836	0	0	1	2	1	2	0
Gm7094	0	0	3	2	4	3	2
Gm4956	0	0	1	1	1	0	0
Khdc1a	13	14	10	22	13	9	1
Gm16329	1	0	0	0	0	1	0
Khdc1c	3	5	1	11	2	2	0
Khdc1b	47	27	32	105	48	33	12
Kcnq5	3	14	3	39	2	3	1
Gm36949	1	1	0	5	0	1	0
Gm7658	3	9	7	10	8	6	9
Gm38243	3	7	1	17	1	1	0
Gm26580	0	1	0	2	0	0	0
Rims1	0	0	1	3	1	1	0
4933415F23Rik	1	0	0	0	0	0	0
Mir30a	0	0	0	0	1	1	0
Gm27028	3	0	0	1	2	1	0
Gm29107	3	4	4	12	9	7	0
Ogfrl1	30	18	31	30	24	33	15
B3gat2	0	1	0	3	3	0	1
Smap1	108	51	95	94	85	80	55
Sdhaf4	163	72	132	141	159	137	87
Fam135a	47	23	37	82	47	46	20
Col9a1	0	0	0	2	0	0	0
Col19a1	1	0	0	1	0	0	0
Tubb4b-ps2	12	8	8	11	10	21	16
Gm28439	11	6	9	10	14	7	4
Gm10222	39	11	38	40	35	23	8
Gm28438	429	215	332	401	423	428	283
Gm28437	16630	8066	13795	18508	14618	12971	9508
Gm10925	11758	5641	10023	12545	11682	11111	4451
Gm28661	7046	4023	6103	8442	8352	7847	5432
Gm29216	3510	2624	2785	4226	3474	3388	2731
Lmbrd1	149	64	113	140	143	122	53
Gm9443	1	1	0	1	0	0	0
Adgrb3	0	0	0	1	0	0	0
Gm15702	0	0	0	1	0	0	0
2900022M07Rik	0	0	0	0	0	0	0
Gm19028	0	0	0	0	1	1	0
Gm7846	18	7	16	13	15	17	3
Gm5697	0	0	0	0	0	0	0
Gm6462	0	0	0	0	1	0	0
Gm5525	62	33	51	77	72	52	76
Gm6473	4	0	1	1	0	1	1
Phf3	128	60	111	156	103	98	42
Gm37522	1	1	0	3	3	2	0
Gm37906	3	2	4	7	1	1	1
Ptp4a1	101	27	55	84	43	46	28
4931428L18Rik	5	5	2	23	5	10	2
Gm19680	0	2	1	4	2	3	2
Khdrbs2	0	2	0	6	0	2	2
Gm37999	0	0	0	2	1	0	0
Gm37110	1	1	1	2	6	0	0
Gm37792	0	0	0	0	0	0	0
Gm7114	1	0	1	1	1	1	1
Prim2	45	20	30	50	40	43	21
Gm29228	2	0	0	1	2	2	4
Gm37618	1	0	0	3	0	1	0
Gm17813	1	0	1	1	0	1	1
1700001G17Rik	1	1	1	0	1	0	0
Rab23	24	12	28	28	29	26	13
Bag2	45	31	41	47	42	46	16
Zfp451	86	62	91	146	93	76	34
Gm15455	0	2	1	1	1	1	0
Bend6	1	1	1	2	1	0	0
Dst	145	67	97	187	152	133	59
Gm37354	0	0	1	0	0	0	0
Gm38157	7	1	2	7	3	5	4
Gm26788	1	2	0	4	3	0	0
A930005N03Rik	1	0	0	2	0	0	0
Gm37385	0	0	0	0	0	0	0
Gm3052	2	1	1	1	0	3	0
Gm37233	6	2	6	0	4	5	2
Ccdc115	91	38	77	102	68	63	34
Gm28306	0	0	2	0	0	1	0
Imp4	150	77	114	185	123	134	57
Ptpn18	85	55	69	107	99	97	34
Gm28417	1	0	1	3	1	1	1
4930568A12Rik	0	1	0	0	1	0	0
Arhgef4	8	2	6	9	13	6	6
Gm38336	3	0	1	3	3	3	0
Fam168b	166	112	161	226	165	148	71
Gm37127	8	1	8	11	8	4	1
Plekhb2	53	41	49	76	69	49	22
Gm8009	0	0	1	0	1	2	1
